FID,country,area,location,site_code,site_name,old_site_codes,latitude,longitude,realm,province,ecoregion,lat_zone,programs,geom
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b3,Australia,Tasmania,Port Davey,PD-S11,North Whalers Point,1611,-43.3,145.93,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.93 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b2,Australia,Tasmania,Port Davey,PD-S26,"Whalers Point North, 300m North of Whalers Point East",1626,-43.3,145.92,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.92 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b1,Australia,Tasmania,Tasmania - West,TAS275,Cape Sorrel End,2404,-42.2,145.17,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.17 -42.2)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50b0,Australia,Western Australia,WA - South Coast,WA137,Doubtful Island West,4005,-34.37,119.57,Temperate Australasia,Southwest Australian Shelf,Leeuwin,Temperate,ATRC,POINT (119.57 -34.37)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50af,Australia,Tasmania,Port Davey,PD-S25,"Whalers Point, Whalers Beach, 5m",1625,-43.29,145.92,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.92 -43.29)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ae,Australia,Tasmania,Port Davey,PD-S14,South Whalers Point,1614,-43.3,145.92,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.92 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ad,Australia,Tasmania,Port Davey,TAS146,Big Caroline Rock,"1603,PD-S3",-43.36,145.92,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.92 -43.36)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ac,Australia,Tasmania,Port Davey,PD-S22,"Inner Saddle Bight Middle Reef, 5m",1622,-43.3,145.9,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.9 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ab,Australia,Tasmania,Port Davey,PD-S23,"Inner Saddle Bight Middle Reef, 10m",1623,-43.3,145.9,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.9 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50aa,Australia,Tasmania,Port Davey,TAS155,Saddle Bight,1602,-43.3,145.9,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.9 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a9,Australia,Tasmania,Port Davey,PD-S17,Inner Saddle South West Point,1617,-43.31,145.9,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.9 -43.31)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a8,Australia,Tasmania,King Island,TAS391,Naracoopa Jetty NW,KIS2,-39.92,144.12,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,RLS,POINT (144.12 -39.92)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a7,Australia,Tasmania,King Island,TAS379,Black Point,807,-40.12,143.97,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,ATRC,POINT (143.97 -40.12)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a6,Australia,Tasmania,Port Davey,PD-S20,Outer Saddle Bight,1620,-43.32,145.87,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.87 -43.32)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a5,Australia,Tasmania,Port Davey,TAS153,Rough Bay,1605,-43.31,145.85,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.85 -43.31)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a4,Australia,Tasmania,Tasmania - West,TAS169,Brier Holme Bay,2008,-43.11,145.71,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.71 -43.11)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a3,Australia,Tasmania,Tasmania - West,TAS204,Low Rocks Point,2010,-42.98,145.51,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.51 -42.98)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a2,Australia,Tasmania,Tasmania - West,TAS272,Breakwater,2402,-42.2,145.2,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.2 -42.2)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a1,Australia,Tasmania,Tasmania - West,TAS271,South Cape Sorrell,2406,-42.21,145.19,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.19 -42.21)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50a0,Australia,Tasmania,Tasmania - West,TAS418,Trefoil Island,2305,-40.64,144.7,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,ATRC,POINT (144.7 -40.64)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-509f,Australia,Tasmania,Tasmania - West,TAS416,East of Doughboys,2304,-40.67,144.68,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,ATRC,POINT (144.68 -40.67)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-509e,Australia,Tasmania,Tasmania - West,TAS417,Doughboys,2306,-40.67,144.68,Temperate Australasia,Southeast Australian Shelf,Western Bassian,Temperate,ATRC,POINT (144.68 -40.67)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-509d,Australia,Tasmania,Tasmania - West,TAS347,Green Point,2303,-40.9,144.65,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (144.65 -40.9)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-509c,Australia,Tasmania,Tasmania - West,TAS340,West Point,2302,-40.93,144.62,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (144.62 -40.93)
