db,country,location,site,latitude,longitude
darling_etal_2019,Australia,NA,Lizard_2b,-14.69146667,145.4692333
darling_etal_2019,Australia,NA,Lizard_3a,-14.64805,145.45555
darling_etal_2019,Australia,NA,Lizard_3b,-14.64805,145.45555
darling_etal_2019,Australia,NA,Lizard_4a,-14.661,145.47
darling_etal_2019,Australia,NA,Lizard_4b,-14.661,145.47
darling_etal_2019,Australia,NA,Lizard_5a,-14.68645,145.4377667
darling_etal_2019,Australia,NA,Lizard_5b,-14.68645,145.4377667
darling_etal_2019,Australia,NA,Lizard_6a,-14.65156667,145.4486833
darling_etal_2019,Australia,NA,Lizard_6b,-14.65156667,145.4486833
darling_etal_2019,Australia,NA,Lizard_7a,-14.69815,145.4484
darling_etal_2019,Australia,NA,Lizard_7b,-14.69815,145.4484
darling_etal_2019,Australia,NA,Lizard_8a,-14.66455,145.44525
darling_etal_2019,Australia,NA,Lizard_8b,-14.66455,145.44525
darling_etal_2019,Australia,NA,Lizard_9a,-14.68953333,145.4578333
darling_etal_2019,Australia,NA,Lizard_9b,-14.68953333,145.4578333
darling_etal_2019,Australia,NA,LyradReef_10,-17.05,146.37
darling_etal_2019,Australia,NA,LyradReef_20,-17.05,146.37
darling_etal_2019,Australia,NA,LyradReef_30,-17.05,146.37
darling_etal_2019,Australia,NA,M1,-23.1715,150.9236
darling_etal_2019,Australia,NA,M2,-23.1695,150.9172
darling_etal_2019,Australia,NA,M3,-23.1551,150.9213
darling_etal_2019,Australia,NA,M4,-23.1677,150.9255
darling_etal_2019,Australia,NA,Mermaid 1,-17.0286,119.6181
darling_etal_2019,Australia,NA,MERMAID RS1 1 WA,-17.066,119.64965
darling_etal_2019,Australia,NA,MERMAID RS1 2 WA,-17.07166667,119.6529667
darling_etal_2019,Australia,NA,MERMAID RS1 3 WA,-17.07608333,119.6544167
darling_etal_2019,Australia,NA,MI2,-23.1551,150.9075
darling_etal_2019,Australia,NA,MichaelmasReef_10,-16.55553333,146.0568667
darling_etal_2019,Australia,NA,MichaelmasReef_20,-16.55553333,146.0568667
darling_etal_2019,Australia,NA,Mid2_10,-19.12,148.26
darling_etal_2019,Australia,NA,Mid2_20,-19.12,148.26
darling_etal_2019,Australia,NA,Mid3_30,-19.17,148.68
darling_etal_2019,Australia,NA,Middleton1_3m,-29.4435,159.0976667
darling_etal_2019,Australia,NA,Middleton1_7m,-29.4435,159.0976667
darling_etal_2019,Australia,NA,Middleton2_2m,-29.45295,159.08435
darling_etal_2019,Australia,NA,Middleton2_8m,-29.45295,159.08435
darling_etal_2019,Australia,NA,Middleton3_3m,-29.45371667,159.0656667
darling_etal_2019,Australia,NA,Middleton4_1m,-29.4429,159.1150167
darling_etal_2019,Australia,NA,Middleton4_5m,-29.4429,159.1150167
darling_etal_2019,Australia,NA,Middleton5_10m,-29.448,159.0551667
darling_etal_2019,Australia,NA,Middleton5_4m,-29.448,159.0551667
darling_etal_2019,Australia,NA,Middleton6_10m,-29.47728333,159.1216
darling_etal_2019,Australia,NA,Middleton6_4m,-29.47728333,159.1216
darling_etal_2019,Australia,NA,Middleton7_10m,-29.43005,159.1331333
darling_etal_2019,Australia,NA,Middleton7_4m,-29.43005,159.1331333
darling_etal_2019,Australia,NA,Middleton8_3m,-29.48476667,159.0766167
darling_etal_2019,Australia,NA,Middleton8_9m,-29.48476667,159.0766167
darling_etal_2019,Australia,NA,Middleton9_10m,-29.45436667,159.1422
darling_etal_2019,Australia,NA,Middleton9_4m,-29.45436667,159.1422
darling_etal_2019,Australia,NA,Million Dollar Bommy_20m,-10.45636667,105.6359167
darling_etal_2019,Australia,NA,Million Dollar Bommy_5m,-10.45636667,105.6359167
darling_etal_2019,Australia,NA,Moore Reef Control,-16.884,146.1967
darling_etal_2019,Australia,NA,Moore Reef Great Adventures,-16.8506,146.2323
